Index,Name,Position,High Score,High Rebound,High Assist,High Steal,High Field Goals,High Free Throes,High Three Pointers,High Block,Total Games,Total Points,Hall Of Famer,Points,Asists,Rebound,Pie,Height,Weight,Country,Previous Team,Age,Birthdate,Draft,Experience,Total Awards
2249,Willie Jones,Guard,27 ,--,4 ,--,13 ,5 ,--,--,272,2016,FALSE,7.4,2,2.8,--,"6'3"" (1.91m)",185lb (84kg),USA,Northwestern,--,"June 29, 1936",1960 R5 Pick 36,5 Years,0
2250,Willie Jones,Forward,--,--,--,--,--,--,--,--,13,41,FALSE,3.2,0.3,1.3,--,"6'8"" (2.03m)",190lb (86kg),USA,Vanderbilt,--,"September 1, 1959",1982 R3 Pick 54,2 Years,0
2251,Perry Jones III,Forward,8 ,4 ,1 ,--,3 ,--,2 ,1 ,143,488,FALSE,3.4,0.4,1.8,--,"6'11"" (2.11m)",235lb (107kg),USA,Baylor,--,"September 24, 1991",2012 R1 Pick 28,4 Years,0
2252,Derrick Jones Jr.,Forward,9 ,2 ,2 ,1 ,3 ,2 ,2 ,3 ,344,2152,FALSE,5,0.5,2.4,7.7,"6'6"" (1.98m)",210lb (95kg),USA,UNLV,26 years,"February 15, 1997",Undrafted,6 Years,0
2253,Adonis Jordan,--,--,--,--,--,--,--,--,--,10,21,FALSE,2.1,2.2,0.6,--,"5'11"" (1.80m)",170lb (77kg),USA,Kansas,--,"August 21, 1970",1993 R2 Pick 42,2 Years,0
2254,DeAndre Jordan,Center,26 ,22 ,5 ,4 ,9 ,14 ,--,5 ,1019,9132,FALSE,5.1,0.9,5.2,10.7,"6'11"" (2.11m)",265lb (120kg),USA,Texas A&M,34 years,"July 21, 1988",2008 R2 Pick 35,14 Years,6
2255,Eddie Jordan,Guard,22 ,10 ,9 ,5 ,9 ,4 ,--,3 ,420,3414,FALSE,8.1,3.8,1.9,--,"6'1"" (1.85m)",170lb (77kg),USA,Rutgers,--,"January 29, 1955",1977 R2 Pick 33,7 Years,0
2256,Jerome Jordan,Center,2 ,2 ,--,--,1 ,--,--,--,65,180,FALSE,2.8,0.3,2,--,"7'0"" (2.13m)",253lb (115kg),Jamaica,Tulsa,--,"September 29, 1986",2010 R2 Pick 44,3 Years,0
2257,Michael Jordan,Guard,63 ,19 ,14 ,6 ,24 ,23 ,6 ,5 ,1072,32292,TRUE,30.1,5.3,6.2,--,"6'6"" (1.98m)",216lb (98kg),USA,North Carolina,--,"February 17, 1963",1984 R1 Pick 3,15 Years,94
2258,Reggie Jordan,--,7 ,8 ,3 ,2 ,3 ,1 ,1 ,1 ,186,500,FALSE,2.7,1,1.8,--,"6'4"" (1.93m)",195lb (88kg),USA,New Mexico State,--,"January 26, 1968",Undrafted,6 Years,0
2259,Thomas Jordan,Forward,--,--,--,--,--,--,--,--,4,44,FALSE,11,0.8,4.8,--,"6'10"" (2.08m)",220lb (100kg),USA,Oklahoma State,--,"May 23, 1968",Undrafted,1 Year,0
2260,Walter Jordan,Forward,--,--,--,--,--,--,--,--,30,68,FALSE,2.3,0.4,1.4,--,"6'7"" (2.01m)",198lb (90kg),USA,Purdue,--,"February 19, 1956",1978 R4 Pick 84,1 Year,0
2261,Phil Jordon,Center,22 ,--,2 ,--,8 ,6 ,--,--,442,4835,FALSE,10.9,1.7,6.9,--,"6'10"" (2.08m)",205lb (93kg),USA,Whitworth,--,"September 12, 1933",1956,7 Years,0
2262,Johnny Jorgensen,Guard,4 ,--,--,--,2 ,1 ,--,--,51,115,FALSE,2.3,0.6,--,--,"6'2"" (1.88m)",185lb (84kg),USA,DePaul,--,"December 28, 1921",Undrafted,2 Years,0
2263,Noble Jorgensen,Center,20 ,--,3 ,--,8 ,10 ,--,--,268,2363,FALSE,8.8,1.2,4.3,--,"6'9"" (2.06m)",228lb (103kg),USA,Iowa,--,"May 18, 1925",Undrafted,5 Years,0
2264,Roger Jorgensen,Center,--,--,--,--,--,--,--,--,28,41,FALSE,1.5,--,--,--,"6'5"" (1.96m)",200lb (91kg),USA,Ohio State,--,"September 2, 1920",Undrafted,1 Year,0
2265,Cory Joseph,Guard,22 ,6 ,12 ,3 ,9 ,7 ,3 ,2 ,790,5588,FALSE,6.9,3.5,1.7,8.7,"6'3"" (1.91m)",200lb (91kg),Canada,Texas,31 years,"August 20, 1991",2011 R1 Pick 29,11 Years,0
2266,Garth Joseph,--,--,--,--,--,--,--,--,--,4,2,FALSE,0.5,0.3,0.5,--,"7'2"" (2.18m)",306lb (139kg),USA,St. Rose,--,"August 8, 1973",Undrafted,2 Years,0
2267,Kris Joseph,Forward,--,--,--,--,--,--,--,--,10,9,FALSE,0.9,0.1,0.7,--,"6'7"" (2.01m)",210lb (95kg),Canada,Syracuse,--,"December 17, 1988",2012 R2 Pick 51,2 Years,0
2268,Yvon Joseph,Forward,--,--,--,--,--,--,--,--,1,2,FALSE,2,--,--,--,"6'11"" (2.11m)",245lb (111kg),USA,Georgia Tech,--,"October 31, 1957",1985 R2 Pick 36,1 Year,0
2269,Nikola Jovic,Forward,--,--,--,--,--,--,--,--,15,82,FALSE,5.5,0.7,2.1,7,"6'10"" (2.08m)",205lb (93kg),Serbia,Mega Basket,19 years,"June 9, 2003",2022 R1 Pick 27,Rookie,0
2270,Jeff Judkins,Guard,3 ,--,--,--,1 ,--,1 ,--,272,1482,FALSE,5.4,1,1.6,--,"6'6"" (1.98m)",185lb (84kg),USA,Utah,--,"March 23, 1956",1978 R2 Pick 30,5 Years,0
2271,Johnny Juzang,Guard,--,--,--,--,--,--,--,--,18,87,FALSE,4.8,0.4,2.2,4.9,"6'6"" (1.98m)",209lb (95kg),USA,UCLA,22 years,"March 17, 2001",Undrafted,Rookie,0
2272,Mfiondu Kabengele,Center,--,--,--,--,--,--,--,--,55,143,FALSE,1.5,--,2.5,4.6,"6'10"" (2.08m)",250lb (113kg),Canada,Florida State,25 years,"August 14, 1997",2019 R1 Pick 27,2 Years,0
2273,Edwin Kachan,Guard,2 ,--,--,--,1 ,--,--,--,52,112,FALSE,2.2,0.7,--,--,"6'2"" (1.88m)",175lb (79kg),USA,DePaul,--,"September 15, 1925",1948,1 Year,0
2274,George Kaftan,Forward,14 ,--,5 ,--,5 ,6 ,--,--,212,1594,FALSE,7.5,1.9,3.1,--,"6'3"" (1.91m)",190lb (86kg),USA,Holy Cross,--,"February 22, 1928",1949,5 Years,0
2275,Ed Kalafat,Center,17 ,--,4 ,--,6 ,11 ,--,--,209,1474,FALSE,7.1,1.5,5.7,--,"6'6"" (1.98m)",245lb (111kg),USA,Minnesota,--,"October 13, 1932",1954 R1 Pick 9,3 Years,0
2276,Georgios Kalaitzakis,--,--,--,--,--,--,--,--,--,13,86,FALSE,6.6,0.9,1.6,--,"6'7"" (2.01m)",192lb (87kg),Greece,Panathinaikos,--,"January 2, 1999",2021 R2 Pick 60,1 Year,0
2277,Chris Kaman,Center,15 ,16 ,2 ,1 ,7 ,5 ,--,4 ,735,8208,FALSE,11.2,1.3,7.6,--,"7'0"" (2.13m)",265lb (120kg),USA,Central Michigan,--,"April 28, 1982",2003 R1 Pick 6,14 Years,3
2278,Frank Kaminsky,Forward-Center,15 ,7 ,4 ,2 ,5 ,5 ,2 ,2 ,413,3630,FALSE,2.5,0.9,1.4,10.7,"7'0"" (2.13m)",240lb (109kg),USA,Wisconsin,30 years,"April 4, 1993",2015 R1 Pick 9,7 Years,0
2279,Ralph Kaplowitz,Guard,14 ,--,3 ,--,6 ,6 ,--,--,105,592,FALSE,5.6,0.5,--,--,"6'2"" (1.88m)",170lb (77kg),USA,New York University,--,"May 18, 1919",Undrafted,2 Years,0
2280,Jason Kapono,--,20 ,5 ,2 ,1 ,8 ,2 ,4 ,--,509,3398,FALSE,6.7,0.8,1.7,--,"6'8"" (2.03m)",215lb (98kg),USA,UCLA,--,"February 2, 1981",2003 R2 Pick 31,9 Years,0
2281,Tony Kappen,Guard,--,--,--,--,--,--,--,--,59,384,FALSE,6.5,0.5,--,--,"5'10"" (1.78m)",165lb (75kg),USA,Forest Hills HS (NY),--,"April 13, 1919",Undrafted,1 Year,0
2282,Sergey Karasev,Guard-Forward,--,--,--,--,--,--,--,--,95,287,FALSE,3,0.9,1.5,--,"6'7"" (2.01m)",208lb (94kg),Russia,Zenit Saint Petersburg,--,"October 26, 1993",2013 R1 Pick 19,4 Years,0
2283,Coby Karl,Guard,--,--,1 ,--,--,--,--,--,24,58,FALSE,2.4,1,1.3,--,"6'5"" (1.96m)",215lb (98kg),USA,Boise State,--,"June 8, 1983",Undrafted,3 Years,0
2284,George Karl,Guard,--,--,--,--,--,--,--,--,33,85,FALSE,2.6,1.5,0.7,--,"6'2"" (1.88m)",185lb (84kg),USA,North Carolina,--,"May 12, 1951",1973 R4 Pick 66,2 Years,0
2285,Ed Kasid,Guard,--,--,--,--,--,--,--,--,8,12,FALSE,1.5,0.8,--,--,"5'11"" (1.80m)",185lb (84kg),USA,Minneapolis Vocational HS (MN),--,"August 13, 1923",Undrafted,1 Year,0
2286,Mario Kasun,Center,--,--,--,--,--,--,--,--,73,198,FALSE,2.7,0.2,2.6,--,"7'1"" (2.16m)",260lb (118kg),Croatia,Skyliners Frankfurt,--,"April 5, 1980",2002 R2 Pick 40,2 Years,0
2287,Leo Katkaveck,Guard,9 ,--,3 ,--,4 ,2 ,--,--,107,457,FALSE,4.3,1.3,--,--,"6'0"" (1.83m)",185lb (84kg),USA,North Carolina State,--,"April 17, 1923",1948,2 Years,0
2288,Bob Kauffman,Forward,4 ,--,2 ,--,1 ,2 ,--,--,525,6049,FALSE,11.5,2.7,7,--,"6'8"" (2.03m)",240lb (109kg),USA,Guilford,--,"July 13, 1946",1968 R1 Pick 3,7 Years,0
2289,Sasha Kaun,Center,--,--,--,--,--,--,--,--,25,23,FALSE,0.9,0.1,1,--,"6'11"" (2.11m)",260lb (118kg),Russia,Kansas,--,"May 8, 1985",2008 R2 Pick 56,2 Years,0
2290,Wilbert Kautz,Guard,10 ,--,--,--,5 ,1 ,--,--,50,253,FALSE,5.1,0.7,--,--,"5'11"" (1.80m)",180lb (82kg),USA,Loyola-Chicago,--,"September 7, 1915",Undrafted,1 Year,0
2291,Clarence Kea,Forward,--,--,--,--,--,--,--,--,51,198,FALSE,3.9,0.4,2.5,--,"6'6"" (1.98m)",218lb (99kg),USA,Lamar,--,"February 2, 1959",1980 R8 Pick 169,2 Years,0
2292,Michael Kearns,Guard,--,--,--,--,--,--,--,--,6,1,FALSE,0.2,0.8,0.5,--,"6'2"" (1.88m)",178lb (81kg),USA,Princeton,--,"June 18, 1929",1951 R5 Pick 48,1 Year,0
2293,Tommy Kearns,Guard,--,--,--,--,--,--,--,--,1,2,FALSE,2,--,--,--,"5'11"" (1.80m)",185lb (84kg),USA,North Carolina,--,"October 6, 1936",1958 R4 Pick 29,1 Year,0
2294,Adam Keefe,Forward,18 ,8 ,4 ,3 ,8 ,4 ,1 ,2 ,617,3107,FALSE,5,0.7,4.1,--,"6'9"" (2.06m)",230lb (104kg),USA,Stanford,--,"February 22, 1970",1992 R1 Pick 10,9 Years,0
2295,Harold Keeling,Guard,--,--,--,--,--,--,--,--,20,44,FALSE,2.2,0.5,0.3,--,"6'4"" (1.93m)",185lb (84kg),USA,Santa Clara,--,"September 18, 1963",1985 R3 Pick 63,1 Year,0
2296,Trevor Keels,Guard,--,--,--,--,--,--,--,--,3,3,FALSE,1,--,0.7,5.8,"6'4"" (1.93m)",221lb (100kg),USA,Duke,19 years,"August 26, 2003",2022 R2 Pick 42,Rookie,0
2297,Ken Keller,--,--,--,--,--,--,--,--,--,28,22,FALSE,0.8,--,--,--,--,--,USA,St. John's (NY),--,"April 5, 1905",Undrafted,1 Year,0
2298,Rich Kelley,Center,18 ,12 ,7 ,4 ,7 ,6 ,--,2 ,814,6199,FALSE,7.6,2.6,7,--,"7'0"" (2.13m)",235lb (107kg),USA,Stanford,--,"March 23, 1953",1975 R1 Pick 7,11 Years,0
2299,Clark Kellogg,Forward,--,--,--,--,--,--,--,--,260,4918,FALSE,18.9,2.9,9.5,--,"6'7"" (2.01m)",225lb (102kg),USA,Ohio State,--,"July 2, 1961",1982 R1 Pick 8,5 Years,2
2300,Gerard Kelly,Forward,--,--,--,--,--,--,--,--,46,262,FALSE,5.7,0.5,--,--,"6'2"" (1.88m)",172lb (78kg),USA,Marshall,--,"June 14, 1918",Undrafted,2 Years,0
2301,Ryan Kelly,Forward,--,--,--,--,--,--,--,--,163,981,FALSE,6,1.3,3.1,--,"6'11"" (2.11m)",230lb (104kg),USA,Duke,--,"April 9, 1991",2013 R2 Pick 48,5 Years,0
2302,Tom Kelly,Guard,--,--,--,--,--,--,--,--,27,191,FALSE,7.1,1.4,--,--,"6'0"" (1.83m)",170lb (77kg),USA,New York University,--,"March 5, 1924",1948,1 Year,0
2303,Greg Kelser,Forward,4 ,6 ,1 ,1 ,2 ,2 ,--,--,305,2961,FALSE,9.7,1.3,4.6,--,"6'7"" (2.01m)",190lb (86kg),USA,Michigan State,--,"September 17, 1957",1979 R1 Pick 4,6 Years,0
2304,Ben Kelso,Guard,--,1 ,1 ,--,--,--,--,--,46,85,FALSE,1.8,0.4,0.7,--,"6'3"" (1.91m)",195lb (88kg),USA,Central Michigan,--,"April 11, 1949",1973 R8 Pick 129,1 Year,0
2305,Shawn Kemp,Forward,33 ,20 ,6 ,6 ,13 ,14 ,1 ,7 ,1051,15347,FALSE,14.6,1.6,8.4,--,"6'10"" (2.08m)",280lb (127kg),USA,Concord HS (IN),--,"November 26, 1969",1989 R1 Pick 17,15 Years,8
2306,Tim Kempton,--,16 ,9 ,4 ,2 ,5 ,6 ,--,--,280,1259,FALSE,4.5,1.1,2.8,--,"6'10"" (2.08m)",245lb (111kg),USA,Notre Dame,--,"January 25, 1964",1986 R6 Pick 124,8 Years,0
2307,Frank Kendrick,Forward,--,--,--,--,--,--,--,--,24,80,FALSE,3.3,0.3,1.5,--,"6'6"" (1.98m)",198lb (90kg),USA,Purdue,--,"September 11, 1950",1974 R3 Pick 47,1 Year,0
2308,Luke Kennard,Guard,21 ,7 ,3 ,2 ,8 ,3 ,4 ,1 ,356,3512,FALSE,9.3,1.5,2.7,8.9,"6'5"" (1.96m)",206lb (93kg),USA,Duke,26 years,"June 24, 1996",2017 R1 Pick 12,5 Years,0
2309,D.J. Kennedy,Guard-Forward,--,--,--,--,--,--,--,--,2,12,FALSE,6,1.5,3.5,--,"6'5"" (1.96m)",214lb (97kg),USA,St. John's (NY),--,"November 5, 1989",Undrafted,2 Years,0
2310,Eugene Kennedy,Forward,6 ,--,--,--,3 ,2 ,--,--,32,65,FALSE,2,0.2,1.6,--,"6'5"" (1.96m)",205lb (93kg),USA,TCU,--,"August 23, 1949",1971 R9 Pick 139,1 Year,0
2311,Joe Kennedy,Forward,--,--,--,--,--,--,--,--,86,454,FALSE,5.3,0.8,3,--,"6'6"" (1.98m)",210lb (95kg),USA,Duke,--,"January 12, 1947",1968 R10 Pick 122,2 Years,0
2312,William Kennedy,Guard,--,--,--,--,--,--,--,--,7,12,FALSE,1.7,1.3,1.1,--,"5'11"" (1.80m)",180lb (82kg),USA,Temple,--,"May 17, 1938",1960 R2 Pick 15,1 Year,0
2313,Larry Kenon,Forward,37 ,15 ,6 ,4 ,15 ,7 ,--,1 ,503,8535,FALSE,17,2.6,7.8,--,"6'9"" (2.06m)",205lb (93kg),USA,Memphis,--,"December 13, 1952",1973 R3 Pick 50,7 Years,0
2314,Bill Kenville,Guard,19 ,--,5 ,--,8 ,9 ,--,--,345,2434,FALSE,7.1,2.1,3.5,--,"6'2"" (1.88m)",187lb (85kg),USA,St. Bonaventure,--,"December 1, 1930",1953,6 Years,0
2315,Jonathan Kerner,Center,--,--,--,--,--,--,--,--,1,0,FALSE,--,--,--,--,"6'11"" (2.11m)",245lb (111kg),USA,East Carolina,--,"June 6, 1974",Undrafted,2 Years,0
2316,Johnny Kerr,Center,34 ,--,7 ,--,13 ,12 ,--,--,905,12480,FALSE,13.8,2.2,11.2,--,"6'9"" (2.06m)",230lb (104kg),USA,Illinois,--,"August 17, 1932",1954 R1 Pick 6,12 Years,0
2317,Steve Kerr,Guard,15 ,4 ,6 ,3 ,5 ,6 ,4 ,1 ,910,5437,FALSE,6,1.8,1.2,--,"6'1"" (1.85m)",180lb (82kg),USA,Arizona,--,"September 27, 1965",1988 R2 Pick 50,16 Years,0
2318,Jack Kerris,Forward,17 ,--,2 ,--,6 ,8 ,--,--,271,2057,FALSE,7.6,2.5,6.3,--,"6'6"" (1.98m)",215lb (98kg),USA,Loyola-Chicago,--,"January 30, 1925",1949 R1 Pick 9,4 Years,0
2319,Jerome Kersey,--,34 ,16 ,8 ,6 ,14 ,12 ,1 ,4 ,1153,11825,FALSE,10.3,1.9,5.5,--,--,--,USA,Longwood,--,"June 26, 1962",1984 R2 Pick 46,17 Years,0
2320,Alec Kessler,Forward,2 ,1 ,--,--,--,2 ,--,--,210,1084,FALSE,5.2,0.4,3.6,--,"6'11"" (2.11m)",230lb (104kg),USA,Georgia,--,"January 13, 1967",1990 R1 Pick 12,4 Years,0
2321,Walker Kessler,Center,--,--,--,--,--,--,--,--,74,679,FALSE,9.2,0.9,8.4,12.8,"7'0"" (2.13m)",245lb (111kg),USA,Auburn,21 years,"July 26, 2001",2022 R1 Pick 22,Rookie,1
2322,Lari Ketner,--,--,--,--,--,--,--,--,--,25,34,FALSE,1.4,0.1,1.4,--,--,--,USA,Massachusetts,--,"February 1, 1977",1999 R2 Pick 49,2 Years,0
2323,Braxton Key,--,--,--,--,--,--,--,--,--,14,83,FALSE,1.3,--,0.3,18.9,"6'8"" (2.03m)",225lb (102kg),USA,Virginia,26 years,"February 14, 1997",Undrafted,1 Year,0
2324,Randolph Keys,Forward,--,3 ,1 ,--,--,--,--,--,241,1262,FALSE,5.2,0.8,2.3,--,"6'7"" (2.01m)",210lb (95kg),USA,Southern Mississippi,--,"April 19, 1966",1988 R1 Pick 22,5 Years,0
2325,Viktor Khryapa,--,--,--,--,--,--,--,--,--,143,643,FALSE,4.5,1,3.4,--,--,--,Russia,CSKA Moscow,--,"August 3, 1982",2004 R1 Pick 22,4 Years,2
2326,Jason Kidd,Guard,34 ,17 ,19 ,7 ,13 ,11 ,6 ,2 ,1391,17529,TRUE,12.6,8.7,6.3,--,"6'4"" (1.93m)",210lb (95kg),USA,California,--,"March 23, 1973",1994 R1 Pick 2,19 Years,43
2327,Stanton Kidd,--,--,--,--,--,--,--,--,--,4,0,FALSE,--,0.3,0.8,--,"6'6"" (1.98m)",216lb (98kg),USA,Colorado State,--,"March 18, 1992",Undrafted,1 Year,0
2328,Warren Kidd,Forward,--,--,--,--,--,--,--,--,68,247,FALSE,3.6,0.3,3.4,--,"6'9"" (2.06m)",235lb (107kg),USA,Middle Tennessee State,--,"September 9, 1970",Undrafted,1 Year,0
2329,Michael Kidd-Gilchrist,Forward,22 ,10 ,2 ,1 ,9 ,4 ,2 ,1 ,446,3750,FALSE,8.4,1.2,5.4,--,"6'6"" (1.98m)",232lb (105kg),USA,Kentucky,--,"September 26, 1993",2012 R1 Pick 2,9 Years,1
2330,Irv Kiffin,Forward,--,--,--,--,--,--,--,--,26,82,FALSE,3.2,0.7,1.5,--,"6'9"" (2.06m)",225lb (102kg),USA,Oklahoma Baptist,--,"August 8, 1951",Undrafted,1 Year,0
2331,Jack Kiley,Guard,2 ,--,1 ,--,1 ,--,--,--,53,124,FALSE,2.3,1.2,1,--,"6'1"" (1.85m)",170lb (77kg),USA,Syracuse,--,"January 5, 1929",1951 R2 Pick 13,2 Years,0
2332,Ernie Killum,Guard,2 ,--,--,--,1 ,2 ,--,--,4,1,FALSE,0.3,--,0.5,--,"6'3"" (1.91m)",180lb (82kg),USA,Stetson,--,"June 11, 1948",1970 R2 Pick 30,1 Year,0
2333,Carl Kilpatrick,Center,--,--,--,--,--,--,--,--,2,3,FALSE,1.5,--,2,--,"6'10"" (2.08m)",230lb (104kg),USA,Louisiana-Monroe,--,"May 16, 1956",1978 R8 Pick 158,1 Year,0
2334,Sean Kilpatrick,Guard,--,--,--,--,--,--,--,--,157,1616,FALSE,10.3,1.5,2.7,--,"6'4"" (1.93m)",212lb (96kg),USA,Cincinnati,--,"January 6, 1990",Undrafted,4 Years,0
2335,Toby Kimball,Forward,16 ,--,2 ,--,6 ,4 ,--,--,571,3470,FALSE,6.1,1,6.8,--,"6'6"" (1.98m)",220lb (100kg),USA,Connecticut,--,"September 7, 1942",1965 R3 Pick 26,9 Years,0
2336,Bo Kimble,Guard,--,--,1 ,--,--,--,--,--,105,574,FALSE,5.5,0.9,1.5,--,"6'4"" (1.93m)",190lb (86kg),USA,Loyola-Marymount,--,"April 9, 1966",1990 R1 Pick 8,3 Years,0
2337,Stan Kimbrough,Forward,--,--,--,--,--,--,--,--,13,21,FALSE,1.6,0.5,0.5,--,"5'11"" (1.80m)",153lb (69kg),USA,Xavier,--,"April 24, 1966",Undrafted,2 Years,0
2338,Chad Kinch,Guard,--,--,--,--,--,--,--,--,41,118,FALSE,2.9,1.1,0.8,--,"6'4"" (1.93m)",190lb (86kg),USA,North Carolina-Charlotte,--,"May 22, 1958",1980 R1 Pick 22,1 Year,0
2339,Albert King,Forward,28 ,9 ,4 ,4 ,12 ,5 ,1 ,1 ,534,6470,FALSE,12.1,2.2,4.2,--,"6'6"" (1.98m)",190lb (86kg),USA,Maryland,--,"December 17, 1959",1981 R1 Pick 10,9 Years,0
2340,Bernard King,Forward,46 ,12 ,5 ,3 ,19 ,12 ,1 ,2 ,874,19655,TRUE,22.5,3.3,5.8,--,"6'7"" (2.01m)",205lb (93kg),USA,Tennessee,--,"December 4, 1956",1977 R1 Pick 7,14 Years,16
2341,Chris King,--,--,--,--,1 ,--,--,--,--,103,693,FALSE,6.7,1.1,3,--,"6'8"" (2.03m)",215lb (98kg),USA,Wake Forest,--,"July 24, 1969",1992 R2 Pick 45,3 Years,0
2342,Dan King,Forward,--,--,--,--,--,--,--,--,12,19,FALSE,1.6,0.3,2.1,--,"6'6"" (1.98m)",220lb (100kg),USA,Western Kentucky,--,"January 7, 1931",Undrafted,1 Year,0
2343,Frankie King,Guard,--,--,--,--,--,--,--,--,13,27,FALSE,2.1,0.5,1.2,--,"6'1"" (1.85m)",185lb (84kg),USA,Western Carolina,--,"June 6, 1972",1995 R2 Pick 37,2 Years,0
2344,George King,Guard,25 ,--,15 ,--,9 ,10 ,--,--,411,4219,FALSE,10.3,4.8,3.9,--,"6'0"" (1.83m)",175lb (79kg),USA,University of Charleston,--,"August 16, 1928",1950,6 Years,0
2345,George King,--,--,--,--,--,--,--,--,--,5,1,FALSE,0.2,--,1.2,--,"6'6"" (1.98m)",220lb (100kg),USA,Colorado Boulder,--,"January 15, 1994",2018 R2 Pick 59,2 Years,0
2346,Gerard King,--,2 ,1 ,1 ,--,1 ,--,--,1 ,126,566,FALSE,4.5,0.7,3.1,--,--,--,USA,Nicholls State,--,"November 25, 1972",Undrafted,3 Years,0
2347,Jim King,Guard,28 ,--,7 ,--,11 ,6 ,--,--,607,4377,FALSE,7.2,2.3,2.5,--,"6'2"" (1.88m)",175lb (79kg),USA,Tulsa,--,"February 7, 1941",1963 R2 Pick 13,10 Years,1
2348,Jimmy King,Guard,--,--,--,--,--,--,--,--,64,285,FALSE,4.5,1.4,1.8,--,"6'5"" (1.96m)",210lb (95kg),USA,Michigan,--,"August 9, 1973",1995 R2 Pick 35,2 Years,0
2349,Louis King,Forward,--,--,--,--,--,--,--,--,27,129,FALSE,20,2,4,10.7,"6'7"" (2.01m)",205lb (93kg),USA,Oregon,24 years,"April 6, 1999",Undrafted,3 Years,0
2350,Louis King,Forward,--,--,--,--,--,--,--,--,27,129,FALSE,5.9,3.8,2.8,--,"6'2"" (1.88m)",195lb (88kg),USA,Kansas,--,"March 12, 1935",1957 R6 Pick 48,2 Years,0
2351,Reggie King,Forward,31 ,15 ,6 ,4 ,13 ,10 ,--,2 ,438,3898,FALSE,8.9,1.6,6.2,--,"6'6"" (1.98m)",225lb (102kg),USA,Alabama,--,"February 14, 1957",1979 R1 Pick 18,6 Years,0
2352,Reggie King,Forward,31 ,15 ,6 ,4 ,13 ,10 ,--,2 ,438,3898,FALSE,1.9,0.3,1,--,"7'2"" (2.18m)",260lb (118kg),USA,Nebraska,--,"April 4, 1969",1991 R1 Pick 14,4 Years,0
2353,Stacey King,Forward-Center,21 ,9 ,3 ,2 ,9 ,7 ,1 ,3 ,438,2819,FALSE,6.4,0.9,3.3,--,"6'11"" (2.11m)",250lb (113kg),USA,Oklahoma,--,"January 29, 1967",1989 R1 Pick 6,8 Years,1
2354,Tom King,Guard,--,--,--,--,--,--,--,--,58,295,FALSE,5.1,0.6,--,--,"6'0"" (1.83m)",165lb (75kg),USA,Michigan,--,"March 9, 1924",Undrafted,1 Year,0
2355,Tom King,Guard,--,--,--,--,--,--,--,--,58,295,FALSE,9.5,1.5,--,--,"6'6"" (1.98m)",215lb (98kg),USA,Rice,--,"September 16, 1920",Undrafted,2 Years,0
2356,Tarence Kinsey,Guard,2 ,2 ,--,1 ,1 ,2 ,--,--,109,511,FALSE,4.7,0.5,1.3,--,"6'6"" (1.98m)",189lb (86kg),USA,South Carolina,--,"March 21, 1984",Undrafted,4 Years,1
2357,Andrei Kirilenko,--,21 ,15 ,5 ,4 ,8 ,10 ,2 ,7 ,797,9431,FALSE,11.8,2.7,5.5,--,"6'9"" (2.06m)",235lb (107kg),Russia,CSKA Moscow,--,"February 18, 1981",1999 R1 Pick 24,13 Years,9
2358,Alex Kirk,--,--,--,--,--,--,--,--,--,5,4,FALSE,0.8,0.2,0.2,--,"7'0"" (2.13m)",245lb (111kg),USA,New Mexico,--,"November 14, 1991",Undrafted,1 Year,0
2359,Walt Kirk,Guard,5 ,--,--,--,2 ,1 ,--,--,118,907,FALSE,7.7,2.1,4,--,"6'3"" (1.91m)",173lb (78kg),USA,Illinois,--,"September 3, 1924",Undrafted,3 Years,0
2360,Corey Kispert,Forward,--,--,--,--,--,--,--,--,151,1454,FALSE,11.1,1.2,2.8,7.3,"6'6"" (1.98m)",224lb (102kg),USA,Gonzaga,24 years,"March 3, 1999",2021 R1 Pick 15,1 Year,0
2361,Doug Kistler,Forward,--,--,--,--,--,--,--,--,5,8,FALSE,1.6,--,0.2,--,"6'9"" (2.06m)",210lb (95kg),USA,Duke,--,"March 21, 1938",1961 R3 Pick 26,1 Year,0
2362,Curtis Kitchen,Forward,2 ,4 ,--,--,1 ,--,--,1 ,6,9,FALSE,1.5,0.2,1.5,--,"6'9"" (2.06m)",235lb (107kg),USA,South Florida,--,"January 30, 1964",1986 R6 Pick 122,1 Year,0
2363,Greg Kite,Center,8 ,9 ,2 ,1 ,4 ,2 ,--,3 ,680,1717,FALSE,2.5,0.5,3.8,--,"6'11"" (2.11m)",250lb (113kg),USA,Brigham Young,--,"August 5, 1961",1983 R1 Pick 21,12 Years,0
2364,Kerry Kittles,--,23 ,11 ,5 ,4 ,9 ,6 ,4 ,2 ,507,7165,FALSE,14.1,2.6,3.9,--,"6'5"" (1.96m)",185lb (84kg),USA,Villanova,--,"June 12, 1974",1996 R1 Pick 8,9 Years,2
2365,Maxi Kleber,Forward,25 ,10 ,4 ,2 ,8 ,4 ,8 ,3 ,363,2527,FALSE,5.9,1.4,3.6,5.6,"6'10"" (2.08m)",240lb (109kg),Germany,Bayern Munich,31 years,"January 29, 1992",Undrafted,5 Years,0
2366,Joe Kleine,--,15 ,11 ,3 ,2 ,6 ,6 ,1 ,1 ,965,4666,FALSE,4.8,0.6,4.1,--,"6'11"" (2.11m)",255lb (116kg),USA,Arkansas,--,"January 4, 1962",1985 R1 Pick 6,15 Years,1
